lat,lon
30.32267100617447,-97.70220950236089
30.405772946568504,-97.80021220587756
30.292094886267865,-97.74632447343814
30.31746545518248,-97.68640082305035
30.41121782364915,-97.74746951675307
30.276446673983575,-97.63516829011836
30.14385416657123,-97.7449233079201
30.306236443302552,-97.60101732686564
30.33182473249577,-97.7115602779731
30.200901704298033,-97.78942111915018
30.19288055628624,-97.8121689395548
30.28784173770152,-97.75522675591154
30.226889776749132,-97.63754235942707
30.254038320475484,-97.76588982824013
30.31169898584081,-97.81035539515565
30.28929425388732,-97.70192712870335
30.333419026738973,-97.86916193020062
30.322534520601618,-97.87260238932012
30.232731635158892,-97.83330591778417
30.242877727308517,-97.73453224578199
30.225089374285954,-97.70062875209386
30.2450359143763,-97.84091794991089
30.20620357784614,-97.73009461051326
30.390343254258426,-97.77871751908502
30.233331977658878,-97.67666873485913
30.168802074566354,-97.6809326531545
30.271608549466297,-97.65702648008156
30.307829277781906,-97.63633371259306
30.407076850350126,-97.77393207118669
30.36935119283532,-97.75378999322164
30.18023285217263,-97.76972972795751
30.331551809655213,-97.80793751234641
30.241366253207485,-97.83421970987825
30.26717410142484,-97.67479812901472
30.300006523105377,-97.74495713052335
30.289203492570554,-97.82791741819926
30.22927435958684,-97.61893199060425
30.32517207074527,-97.87067719950386
30.285453694433542,-97.84631216394749
30.292886031716197,-97.79327962109191
30.244039119542638,-97.71689600483742
30.214561281220103,-97.69514249790384
30.365319293927016,-97.84803292841012
30.319521124423712,-97.71284465580679
30.34052169809948,-97.86799337751593
30.2085017438338,-97.85295583514373
30.172731884282683,-97.64817182367749
30.233381865521466,-97.69589216698633
30.158882032543517,-97.80780801811682
30.415187873937697,-97.74384332606186
30.305614040271507,-97.64654113685364
30.245718078209904,-97.86463983350129
30.25329307930939,-97.78320370631991
30.21196764769044,-97.6849577119593
30.383697200255266,-97.71348773990985
30.164855033855922,-97.66954290464083
30.263937353889563,-97.83605272708539
30.363218964091118,-97.80319894859699
30.33460002524912,-97.85780087301757
30.19080010318413,-97.7325114543069
